Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
001-001-00002;Red Seduction Encapsulado;Gramo;Paseo;NULL;4;NULL;0,00;0,0105;NULL;0
001-001-00003;Masala Chai  Encapsulado;Gramo;Paseo;NULL;4;NULL;0,00;0,014;NULL;0
001-001-00009;Mora Roberto Baldeon;Gramo;Paseo;NULL;4;NULL;0,00;0,024;NULL;0
001-001-00010;Azucar Impalpable Don Gato;Gramo;Paseo;NULL;4;NULL;0,00;0,0011076;NULL;0
001-001-00011;Anis Ile;Gramo;Paseo;NULL;4;NULL;0,00;0,0878;NULL;0
001-001-00012;Stevia En Hoja Ile;Gramo;Paseo;NULL;4;NULL;0,00;0,019;NULL;0
001-001-00013;Sucralosa;Gramo;Paseo;NULL;4;NULL;0,00;0,1;NULL;0
001-001-00014;Saborizante Crema De Menta;Gramo;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-001-00015;Crema Batida En Polvo Importada;Gramo;Paseo;NULL;4;NULL;0,00;0,07;NULL;0
001-001-00016;Saborizante Avellana;Gramo;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-001-00017;Polvo De Cacao Alcalino  Natigold;Gramo;Paseo;NULL;4;NULL;0,00;0,011;NULL;0
001-001-00018;Polvo De Cacao Natural Natigold;Gramo;Paseo;NULL;4;NULL;0,00;0,01;NULL;0
001-001-00021;Jamaica Tamarak;Gramo;Paseo;NULL;4;NULL;0,00;0,0085;NULL;0
001-001-00022;Saborizante Cookies And Cream;Gramo;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-001-00023;Rosas Rojas Pequenas Aromas;Gramo;Paseo;NULL;4;NULL;0,00;0,018;NULL;0
001-001-00024;Calendula Aromas;Gramo;Paseo;NULL;4;NULL;0,00;0,018;NULL;0
001-001-00025;Caballo Chupa Aromas;Gramo;Paseo;NULL;4;NULL;0,00;0;NULL;0
001-001-00026;Tarascaso Aromas;Gramo;Paseo;NULL;4;NULL;0,00;0;NULL;0
001-001-00027;Matcha Latte Mix 1kg;Gramo;Paseo;NULL;4;NULL;9000,00;0,0036;NULL;32,4
001-001-00027;Matcha Latte Mix 1kg;Gramo;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-001-00028;Matcha Kyoto Bi;Gramo;Paseo;NULL;4;NULL;0,00;0,306;NULL;0
001-001-00029;Matcha Kyoto Rin;Gramo;Paseo;NULL;4;NULL;0,00;0,232;NULL;0
001-001-00030;Manzana En Cubo Roberto Baldeon;Gramo;Paseo;NULL;4;NULL;0,00;0,028;NULL;0
001-001-00031;Saborizante Naranja Tippytea 250 G;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-001-00032;Sunfo Pucara;Gramo;Paseo;NULL;4;NULL;0,00;0,027;NULL;0
001-001-00033;Maquila Koko Sen;Unidad;Paseo;NULL;4;NULL;0,00;0,01;NULL;0
001-001-00034;Otros;Unidad;Paseo;NULL;4;NULL;0,00;0,01;NULL;0
001-001-00035;Etiqueta Pequena Black Velvet;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-001-00036;Etiqueta Pequena Bubbly Oolong;Unidad;Paseo;NULL;4;NULL;25,00;0,03;NULL;0,75
001-001-00037;Etiqueta Pequena Pinneaple Mint;Unidad;Paseo;NULL;4;NULL;4,00;0,03;NULL;0,12
001-001-00039;Saborizante Pina Tropical;Gramo;Paseo;NULL;4;NULL;0,00;0,015;NULL;0
001-001-00040;Saborizante Coco;Gramo;Paseo;NULL;4;NULL;0,00;0,01;NULL;0
001-001-00041;Saborizante Menta Banano;Gramo;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-001-00042;Balde Blanco Pp 3.5;Unidad;Paseo;NULL;4;NULL;0,00;0,7;NULL;0
001-001-00056;Fundas de Hielo;Unidad;Paseo;NULL;4;NULL;3,00;0,94;NULL;2,82
001-002-00002;Insumo De Maridaje;Unidad;Paseo;NULL;4;NULL;0,00;0,01;NULL;0
001-003-00001;Latas Xl (Grande);Unidad;Paseo;NULL;4;NULL;46,00;0,45;NULL;20,7
001-003-00003;Fundas Metalizadas;Unidad;Paseo;NULL;4;NULL;86,00;0,03;NULL;2,58
001-003-00015;Etiqueta Grande Guayusa Tropical;Unidad;Paseo;NULL;4;NULL;8,00;0,04;NULL;0,32
001-003-00016;Etiqueta Grande Monn Cycle;Unidad;Paseo;NULL;4;NULL;0,00;0,04;NULL;0
001-003-00017;Etiqueta Extra Grande Divine Tea;Unidad;Paseo;NULL;4;NULL;0,00;0,06;NULL;0
001-003-00018;Etiqueta Extra Grande Digestive Blend;Unidad;Paseo;NULL;4;NULL;0,00;0,06;NULL;0
001-003-00019;Etiqueta Extra Grande Moon Cycle;Unidad;Paseo;NULL;4;NULL;0,00;0,06;NULL;0
001-003-00020;Etiqueta Extra Grande Focus Boost;Unidad;Paseo;NULL;4;NULL;0,00;0,06;NULL;0
001-003-00021;Porta Vasos;Unidad;Paseo;NULL;4;NULL;0,00;0,29;NULL;0
001-003-00022;Etiquetas Pequeñas Jazmin;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-003-00023;Etiquetas Pequeñas Butterfly Pea;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-003-00024;Cofre Sin Tapa Por 9;Unidad;Paseo;NULL;4;NULL;0,00;6;NULL;0
001-003-00025;Liner De Aluminio Tapa 120mm;Unidad;Paseo;NULL;4;NULL;0,00;0,15;NULL;0
001-003-00026;Botella 60ml;Unidad;Paseo;NULL;4;NULL;0,00;0,63;NULL;0
001-003-00027;Etiqueta Grande Lapsang Souchong;Unidad;Paseo;NULL;4;NULL;16,00;0,04;NULL;0,64
001-003-00028;Tapa Rosca Blanca;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-003-00029;Banda Pvc Tapa 28mm;Unidad;Paseo;NULL;4;NULL;0,00;0,0054;NULL;0
001-003-00030;Etiquetas Bubble Tea Sabores;Unidad;Paseo;NULL;4;NULL;0,00;0,14;NULL;0
001-003-00031;Sorbetes Papel Pequeño;Unidad;Paseo;NULL;4;NULL;25,00;0,02;NULL;0,5
001-003-00032;Sorbetes Papel Grande;Unidad;Paseo;NULL;4;NULL;25,00;0,05;NULL;1,25
001-003-00033;Tea Collection Caja Amarilla;Unidad;Paseo;NULL;4;NULL;0,00;0,3;NULL;0
001-003-00034;Tapa Lata Pequeña;Unidad;Paseo;NULL;4;NULL;0,00;0,00001;NULL;0
001-003-00035;Vaso Degustación;Unidad;Paseo;NULL;4;NULL;37,00;0,04;NULL;1,48
001-003-00036;Caja Kit Matcha Madera Vacia;Unidad;Paseo;NULL;4;NULL;3,00;2,4;NULL;7,2
001-003-00037;Caja Madera 4 Latitas Vacia;Unidad;Paseo;NULL;4;NULL;0,00;2,4;NULL;0
001-003-00038;Cilindro 4 Latitas Vacio;Unidad;Paseo;NULL;4;NULL;0,00;6,5;NULL;0
001-003-00039;Etiqueta Grande Rosaline Night;Unidad;Paseo;NULL;4;NULL;19,00;0,04;NULL;0,76
001-003-00040;Etiqueta Grande Tropical Fusion;Unidad;Paseo;NULL;4;NULL;4,00;0,04;NULL;0,16
001-003-00041;Etiqueta Grande  Orange Star;Unidad;Paseo;NULL;4;NULL;10,00;0,04;NULL;0,4
001-003-00042;Etiqueta Grande Golden Rooibos;Unidad;Paseo;NULL;4;NULL;7,00;0,04;NULL;0,28
001-003-00043;Etiqueta Grande Green Jade;Unidad;Paseo;NULL;4;NULL;8,00;0,04;NULL;0,32
001-003-00044;Etiqueta Grande Flowers Y Kisses;Unidad;Paseo;NULL;4;NULL;4,00;0,04;NULL;0,16
001-003-00045;Etiqueta Grande Lavender Mint;Unidad;Paseo;NULL;4;NULL;0,00;0,04;NULL;0
001-003-00046;Etiqueta Grande Mystic Rose;Unidad;Paseo;NULL;4;NULL;10,00;0,04;NULL;0,4
001-003-00047;Etiqueta Grande Butterfly Floral;Unidad;Paseo;NULL;4;NULL;7,00;0,04;NULL;0,28
001-003-00048;Etiqueta Grande Milky Oolong;Unidad;Paseo;NULL;4;NULL;15,00;0,04;NULL;0,6
001-003-00049;Etiqueta Grande Caribbean Punch;Unidad;Paseo;NULL;4;NULL;15,00;0,04;NULL;0,6
001-003-00050;Cofres 6 Espacios Con Tapa;Unidad;Paseo;NULL;4;NULL;0,00;6;NULL;0
001-003-00051;Divisiones De Carton;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-003-00052;Frascos Para Bubbletea;Unidad;Paseo;NULL;4;NULL;0,00;0,49;NULL;0
001-003-00053;Funda Dorada 13x21;Unidad;Paseo;NULL;4;NULL;0,00;0,05;NULL;0
001-003-00054;Funda Eco Food Tippytea (500);Unidad;Paseo;NULL;4;NULL;0,00;0,02594;NULL;0
001-003-00055;Funda Plateada Antigua 13x21;Unidad;Paseo;NULL;4;NULL;0,00;0,11;NULL;0
001-003-00056;Funda Mate;Unidad;Paseo;NULL;4;NULL;0,00;0,34;NULL;0
001-003-00057;Funda Tippytea Amarilla 50gr;Unidad;Paseo;NULL;4;NULL;0,00;0,49;NULL;0
001-003-00058;Funda Zipper Transparente Grande 9x13;Unidad;Paseo;NULL;4;NULL;0,00;0,125;NULL;0
001-003-00059;Funda Zipper Transparente Mediana 8x9,5;Unidad;Paseo;NULL;4;NULL;0,00;0,078;NULL;0
