Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
001-001-00002;Red Seduction Encapsulado;Gramo;Planta;NULL;1;NULL;0;0,0105;NULL;0
001-001-00003;Masala Chai  Encapsulado;Gramo;Planta;NULL;1;NULL;0;0,0140;NULL;0
001-001-00009;Mora Roberto Baldeon;Gramo;Planta;NULL;1;NULL;0;0,0240;NULL;0
001-001-00010;Azucar Impalpable Don Gato;Gramo;Planta;NULL;1;NULL;0;0,0011;NULL;0
001-001-00011;Anis Ile;Gramo;Planta;NULL;1;NULL;0;0,0878;NULL;0
001-001-00012;Stevia En Hoja Ile;Gramo;Planta;NULL;1;NULL;28135;0,0190;NULL;534,565
001-001-00013;Sucralosa;Gramo;Planta;NULL;1;NULL;120;0,1000;NULL;12
001-001-00014;Saborizante Crema De Menta;Gramo;Planta;NULL;1;NULL;220;0,0200;NULL;4,4
001-001-00015;Crema Batida En Polvo Importada;Gramo;Planta;NULL;1;NULL;4842;0,0700;NULL;338,94
001-001-00016;Saborizante Avellana;Gramo;Planta;NULL;1;NULL;452;0,0200;NULL;9,04
001-001-00017;Polvo De Cacao Alcalino  Natigold;Gramo;Planta;NULL;1;NULL;254;0,0110;NULL;2,794
001-001-00018;Polvo De Cacao Natural Natigold;Gramo;Planta;NULL;1;NULL;1000;0,0100;NULL;10
001-001-00021;Jamaica Tamarak;Gramo;Planta;NULL;1;NULL;12000;0,0085;NULL;102
001-001-00022;Saborizante Cookies And Cream;Gramo;Planta;NULL;1;NULL;0;0,0200;NULL;0
001-001-00023;Rosas Rojas Pequenas Aromas;Gramo;Planta;NULL;1;NULL;0;0,0180;NULL;0
001-001-00024;Calendula Aromas;Gramo;Planta;NULL;1;NULL;996;0,0180;NULL;17,928
001-001-00025;Caballo Chupa Aromas;Gramo;Planta;NULL;1;NULL;638;0,0000;NULL;0
001-001-00026;Tarascaso Aromas;Gramo;Planta;NULL;1;NULL;585;0,0000;NULL;0
001-001-00027;Matcha Latte Mix 1kg;Gramo;Planta;NULL;1;NULL;1680;0,0036;NULL;5,964
001-001-00028;Matcha Kyoto Bi;Gramo;Planta;NULL;1;NULL;0;0,3060;NULL;0
001-001-00029;Matcha Kyoto Rin;Gramo;Planta;NULL;1;NULL;0;0,2320;NULL;0
001-001-00030;Manzana En Cubo Roberto Baldeon;Gramo;Planta;NULL;1;NULL;4861;0,0280;NULL;136,108
001-001-00031;Saborizante Naranja Tippytea 250 G;Unidad;Planta;NULL;1;NULL;0;0,0300;NULL;0
001-001-00032;Sunfo Pucara;Gramo;Planta;NULL;1;NULL;1000;0,0270;NULL;27
001-001-00033;Maquila Koko Sen;Unidad;Planta;NULL;1;NULL;0;0,0100;NULL;0
001-001-00034;Otros;Unidad;Planta;NULL;1;NULL;0;0,0100;NULL;0
001-001-00035;Etiqueta Pequena Black Velvet;Unidad;Planta;NULL;1;NULL;0;0,0300;NULL;0
001-001-00036;Etiqueta Pequena Bubbly Oolong;Unidad;Planta;NULL;1;NULL;0;0,0300;NULL;0
001-001-00037;Etiqueta Pequena Pinneaple Mint;Unidad;Planta;NULL;1;NULL;0;0,0300;NULL;0
001-001-00039;Saborizante Pina Tropical;Gramo;Planta;NULL;1;NULL;690;0,0150;NULL;10,35
001-001-00040;Saborizante Coco;Gramo;Planta;NULL;1;NULL;441;0,0100;NULL;4,41
001-001-00041;Saborizante Menta Banano;Gramo;Planta;NULL;1;NULL;424;0,0200;NULL;8,48
001-001-00042;Balde Blanco Pp 3.5;Unidad;Planta;NULL;1;NULL;25;0,7000;NULL;17,5
001-001-00045;Saborizante Nutella En Polvo;Gramo;Planta;NULL;1;NULL;0;0,0357;NULL;0
001-001-00049;Saborizante Vainilla en Polvo Florarom;Gramo;Planta;NULL;1;NULL;3167;0,02405;NULL;76,16635
001-001-00050;Remolacha en cubo Arbori;Gramo;Planta;NULL;1;NULL;2082;0,017;NULL;35,394
001-001-00052;Pina En Rodaja Arbori;Gramo;Planta;NULL;1;NULL;7430;0,0145;NULL;107,735
001-001-00055;Polvo Plateado;Unidad;Planta;NULL;1;NULL;0;3,57;NULL;0
001-002-00002;Insumo De Maridaje;Unidad;Planta;NULL;1;NULL;0;0,0100;NULL;0
001-003-00001;Latas Xl (Grande);Unidad;Planta;NULL;1;NULL;20;0,4500;NULL;9
001-003-00003;Fundas Metalizadas;Unidad;Planta;NULL;1;NULL;23800;0,0300;NULL;714
001-003-00015;Etiqueta Grande Guayusa Tropical;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00016;Etiqueta Grande Monn Cycle;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00017;Etiqueta Extra Grande Divine Tea;Unidad;Planta;NULL;1;NULL;0;0,0600;NULL;0
001-003-00018;Etiqueta Extra Grande Digestive Blend;Unidad;Planta;NULL;1;NULL;0;0,0600;NULL;0
001-003-00019;Etiqueta Extra Grande Moon Cycle;Unidad;Planta;NULL;1;NULL;0;0,0600;NULL;0
001-003-00020;Etiqueta Extra Grande Focus Boost;Unidad;Planta;NULL;1;NULL;0;0,0600;NULL;0
001-003-00021;Porta Vasos;Unidad;Planta;NULL;1;NULL;0;0,2900;NULL;0
001-003-00022;Etiquetas Pequeñas Jazmin;Unidad;Planta;NULL;1;NULL;0;0,0300;NULL;0
001-003-00023;Etiquetas Pequeñas Butterfly Pea;Unidad;Planta;NULL;1;NULL;0;0,0300;NULL;0
001-003-00024;Cofre Sin Tapa Por 9;Unidad;Planta;NULL;1;NULL;98;6,0000;NULL;588
001-003-00025;Liner De Aluminio Tapa 120mm;Unidad;Planta;NULL;1;NULL;208;0,1500;NULL;31,2
001-003-00026;Botella 60ml;Unidad;Planta;NULL;1;NULL;0;0,6300;NULL;0
001-003-00027;Etiqueta Grande Lapsang Souchong;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00028;Tapa Rosca Blanca;Unidad;Planta;NULL;1;NULL;0;0,030;NULL;0
001-003-00029;Banda Pvc Tapa 28mm;Unidad;Planta;NULL;1;NULL;0;0,0054;NULL;0
001-003-00030;Etiquetas Bubble Tea Sabores;Unidad;Planta;NULL;1;NULL;2998;0,1400;NULL;419,72
001-003-00031;Sorbetes Papel Pequeño;Unidad;Planta;NULL;1;NULL;1150;0,0200;NULL;23
001-003-00032;Sorbetes Papel Grande;Unidad;Planta;NULL;1;NULL;2122;0,0500;NULL;106,10
001-003-00033;Tea Collection Caja Amarilla;Unidad;Planta;NULL;1;NULL;4200;0,3010;NULL;1264,20
001-003-00034;Tapa Lata Pequeña;Unidad;Planta;NULL;1;NULL;15990;0,0000;NULL;0,1599
001-003-00035;Vaso Degustación;Unidad;Planta;NULL;1;NULL;200;0,0400;NULL;8
001-003-00036;Caja Kit Matcha Madera Vacia;Unidad;Planta;NULL;1;NULL;0;2,4000;NULL;0
001-003-00037;Caja Madera 4 Latitas Vacia;Unidad;Planta;NULL;1;NULL;0;2,4000;NULL;0
001-003-00038;Cilindro 4 Latitas Vacio;Unidad;Planta;NULL;1;NULL;0;6,5000;NULL;0
001-003-00039;Etiqueta Grande Rosaline Night;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00040;Etiqueta Grande Tropical Fusion;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00041;Etiqueta Grande  Orange Star;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00042;Etiqueta Grande Golden Rooibos;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00043;Etiqueta Grande Green Jade;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00044;Etiqueta Grande Flowers Y Kisses;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00045;Etiqueta Grande Lavender Mint;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00046;Etiqueta Grande Mystic Rose;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00047;Etiqueta Grande Butterfly Floral;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00048;Etiqueta Grande Milky Oolong;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00049;Etiqueta Grande Caribbean Punch;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00050;Cofres 6 Espacios Con Tapa;Unidad;Planta;NULL;1;NULL;0;6,0000;NULL;0
001-003-00051;Divisiones De Carton;Unidad;Planta;NULL;1;NULL;3769;0,0300;NULL;113,07
001-003-00052;Frascos Para Bubbletea;Unidad;Planta;NULL;1;NULL;336;0,4900;NULL;164,64
001-003-00053;Funda Dorada 13x21;Unidad;Planta;NULL;1;NULL;36;0,0500;NULL;1,8
001-003-00054;Funda Eco Food Tippytea (500);Unidad;Planta;NULL;1;NULL;16751;0,0259;NULL;434,52094
001-003-00055;Funda Plateada Antigua 13x21;Unidad;Planta;NULL;1;NULL;0;0,1100;NULL;0
001-003-00056;Funda Mate;Unidad;Planta;NULL;1;NULL;47;0,3400;NULL;15,98
001-003-00057;Funda Tippytea Amarilla 50gr;Unidad;Planta;NULL;1;NULL;2251;0,4900;NULL;1102,99
001-003-00058;Funda Zipper Transparente Grande 9x13;Unidad;Planta;NULL;1;NULL;0;0,1250;NULL;0
001-003-00059;Funda Zipper Transparente Mediana 8x9,5;Unidad;Planta;NULL;1;NULL;0;0,0780;NULL;0
001-003-00060;Funda Zipper Transparente Pequena 5,5x7;Unidad;Planta;NULL;1;NULL;0;0,0480;NULL;0
001-003-00061;Funda Negra Kfc;Unidad;Planta;NULL;1;NULL;70;0,6100;NULL;42,7
001-003-00062;Funda Kraft 10 X 18;Unidad;Planta;NULL;1;NULL;116;0,1100;NULL;12,76
001-003-00063;Funda Kraft Matcha 13 X 21;Unidad;Planta;NULL;1;NULL;13;0,1100;NULL;1,43
001-003-00064;Funda Plateada 25x44;Unidad;Planta;NULL;1;NULL;200;0,5900;NULL;118
001-003-00065;Funda Plateada 19x27;Unidad;Planta;NULL;1;NULL;400;0,1600;NULL;64
001-003-00066;Funda Transparente 13x21;Unidad;Planta;NULL;1;NULL;154;0,0900;NULL;13,86
001-003-00067;Funda Transparente 10x18;Unidad;Planta;NULL;1;NULL;178;0,0800;NULL;14,24
001-003-00068;Funda Tisana Frutos Rojos;Unidad;Planta;NULL;1;NULL;4000;0,0200;NULL;80
001-003-00069;Funda Tisana Naranja;Unidad;Planta;NULL;1;NULL;5916;0,0200;NULL;118,32
001-003-00070;Funda Tisana Manzana;Unidad;Planta;NULL;1;NULL;4500;0,0200;NULL;90
001-003-00071;Funda Tisana Pina;Unidad;Planta;NULL;1;NULL;4000;0,0200;NULL;80
001-003-00072;Piramides Tippytea;Unidad;Planta;NULL;1;NULL;0;0,2300;NULL;0
001-003-00073;Rollos Para Sachets Nuevos Amarillos Tippytea;Unidad;Planta;NULL;1;NULL;120069;0,0200;NULL;2401,38
001-003-00074;Rollos  Zebra 64x102 (1 Fila);Unidad;Planta;NULL;1;NULL;2568;0,0088;NULL;22,5984
001-003-00075;Rollos Zebra 25x40 (3 Filas);Unidad;Planta;NULL;1;NULL;16310;0,0002;NULL;3,5882
001-003-00076;Rollos Zebra 15x32 (2 Filas);Unidad;Planta;NULL;1;NULL;11161;0,0003;NULL;3,3483
001-003-00077;Rollos Impresora 60 X 15;Unidad;Planta;NULL;1;NULL;3478;0,0040;NULL;13,912
001-003-00078;Rollos Impresora 3x1;Unidad;Planta;NULL;1;NULL;812;0,0300;NULL;24,36
001-003-00079;Rollos Impresora 3x 2;Unidad;Planta;NULL;1;NULL;155;0,1034;NULL;16,027
001-003-00080;Rollos Impresora 4 X 3;Unidad;Planta;NULL;1;NULL;784;0,0880;NULL;68,992
001-003-00081;Rollos Impresora 3x 5;Unidad;Planta;NULL;1;NULL;560;0,0600;NULL;33,6
001-003-00082;Rollos Impresora 4x 6;Unidad;Planta;NULL;1;NULL;721;0,0500;NULL;36,05
001-003-00083;Rollos Impresora 2x 2;Unidad;Planta;NULL;1;NULL;744;0,0300;NULL;22,32
001-003-00084;Rollos Tippytea;Unidad;Planta;NULL;1;NULL;250000;0,0130;NULL;3250
001-003-00085;Rollos Pads 20cm;Unidad;Planta;NULL;1;NULL;22;11,7700;NULL;258,94
001-003-00086;Rollos Pads 12cm;Unidad;Planta;NULL;1;NULL;0;18,0900;NULL;0
001-003-00087;Rollos Tag Blancos;Unidad;Planta;NULL;1;NULL;0;6,9700;NULL;0
001-003-00088;Rollo De Nylon Sin Tag;Unidad;Planta;NULL;1;NULL;18000;0,0300;NULL;540
001-003-00089;Rollo Kraft Maquina Nueva;Unidad;Planta;NULL;1;NULL;0;7,4400;NULL;0
001-003-00090;Rollo Blanco Maquina Nueva;Unidad;Planta;NULL;1;NULL;15;6,9400;NULL;104,1
001-003-00091;Rollo Hilo De Algodon;Unidad;Planta;NULL;1;NULL;47;6,9400;NULL;326,18
001-003-00092;Rollo Fiorana Kraft;Unidad;Planta;NULL;1;NULL;11;7,4400;NULL;81,84
001-003-00093;Rollo Fiorana Rojo;Unidad;Planta;NULL;1;NULL;28;7,4400;NULL;208,32
001-003-00094;Rollo Generico Fiorana;Unidad;Planta;NULL;1;NULL;29;6,9700;NULL;202,13
001-003-00095;Rollo Sweet And Coffe;Unidad;Planta;NULL;1;NULL;0;0,0140;NULL;0
001-003-00096;Sobres Plasticos Tizanas;Unidad;Planta;NULL;1;NULL;3000;0,0180;NULL;54
001-003-00097;Tea Collection Tapa Transparente;Unidad;Planta;NULL;1;NULL;3600;0,0001;NULL;0,36
001-003-00098;Tea Collection Base Azul;Unidad;Planta;NULL;1;NULL;1200;0,0001;NULL;0,12
001-003-00099;Tubos Acetato Para Latita X8;Unidad;Planta;NULL;1;NULL;0;4,5000;NULL;0
001-003-00100;Tubos Acetato Para Latita X4;Unidad;Planta;NULL;1;NULL;0;6,5000;NULL;0
001-003-00101;Caja Aromatica Vacia;Unidad;Planta;NULL;1;NULL;1852;0,1300;NULL;240,76
001-003-00102;Caja Aromatica Flores De Manzanilla;Unidad;Planta;NULL;1;NULL;964;0,1300;NULL;125,32
001-003-00103;Caja Aromatica Hierbabuena;Unidad;Planta;NULL;1;NULL;1682;0,1300;NULL;218,66
001-003-00104;Doypac Vacio;Unidad;Planta;NULL;1;NULL;158;0,2300;NULL;36,34
001-003-00105;Doypac Lemon Ginger;Unidad;Planta;NULL;1;NULL;1000;0,2300;NULL;230
001-003-00106;Doypac Chamomile;Unidad;Planta;NULL;1;NULL;990;0,2300;NULL;227,7
001-003-00107;Doypac Berry Berry;Unidad;Planta;NULL;1;NULL;3612;0,2300;NULL;830,76
001-003-00108;Funda Amarilla 50 Gr Matcha Culinario;Unidad;Planta;NULL;1;NULL;1038;0,3400;NULL;352,92
001-003-00109;Funda Amarilla 50 Gr Pink Matcha;Unidad;Planta;NULL;1;NULL;3511;0,3400;NULL;1193,74
001-003-00110;Funda Amarilla 100 Gr Chai Latte Mix;Unidad;Planta;NULL;1;NULL;0;0,3100;NULL;0
001-003-00111;Funda Amarilla 100 Gr Pink Lemonade;Unidad;Planta;NULL;1;NULL;79;0,3100;NULL;24,49
001-003-00112;Funda Amarilla 100 Gr Te Negro Y Limon;Unidad;Planta;NULL;1;NULL;1192;0,3400;NULL;405,28
001-003-00113;Lata Para Matcha Colores  30gr;Unidad;Planta;NULL;1;NULL;0;0,0200;NULL;0
001-003-00114;Etiquetas Aromaticas Anis;Unidad;Planta;NULL;1;NULL;1499;0,0200;NULL;29,98
001-003-00115;Etiquetas Aromaticas Cedron;Unidad;Planta;NULL;1;NULL;1216;0,0200;NULL;24,32
001-003-00116;Etiquetas Aromaticas Flores De Manzanilla;Unidad;Planta;NULL;1;NULL;242;0,0200;NULL;4,84
001-003-00117;Etiquetas Aromaticas Guayusa;Unidad;Planta;NULL;1;NULL;1510;0,0200;NULL;30,2
001-003-00118;Etiquetas Aromaticas Hierbabuena;Unidad;Planta;NULL;1;NULL;2580;0,0200;NULL;51,6
001-003-00119;Etiquetas Aromaticas Hierbaluisa;Unidad;Planta;NULL;1;NULL;1590;0,0200;NULL;31,8
001-003-00120;Etiquetas Aromaticas Manzanilla Y Miel;Unidad;Planta;NULL;1;NULL;1141;0,0200;NULL;22,82
001-003-00121;Etiquetas Aromaticas Menta;Unidad;Planta;NULL;1;NULL;972;0,0200;NULL;19,44
001-003-00122;Etiquetas Aromaticas Toronjil;Unidad;Planta;NULL;1;NULL;1349;0,0200;NULL;26,98
001-003-00123;Etiquetas Doypac Chamomille;Unidad;Planta;NULL;1;NULL;252;0,0200;NULL;5,04
001-003-00124;Etiquetas Doypac Earl Grey;Unidad;Planta;NULL;1;NULL;187;0,0200;NULL;3,74
001-003-00125;Etiquetas Doypac Green Tea;Unidad;Planta;NULL;1;NULL;211;0,0200;NULL;4,22
001-003-00126;Etiquetas Doypac Lemon Ginger;Unidad;Planta;NULL;1;NULL;897;0,0200;NULL;17,94
001-003-00127;Etiquetas Doypac Strawberry;Unidad;Planta;NULL;1;NULL;0;0,0200;NULL;0
001-003-00128;Etiquetas Latas Atix Blend;Unidad;Planta;NULL;1;NULL;622;0,1400;NULL;87,08
001-003-00129;Etiquetas Latas Amarillas Delgada;Unidad;Planta;NULL;1;NULL;3344;0,0200;NULL;66,88
001-003-00130;Etiquetas Latas Berry Berry Amarillas Delgada;Unidad;Planta;NULL;1;NULL;1812;0,0500;NULL;90,6
001-003-00131;Etiquetas Latas Chamomille Amarilla Delgada;Unidad;Planta;NULL;1;NULL;3259;0,0500;NULL;162,95
001-003-00132;Etiquetas Latas Cosmic Blend;Unidad;Planta;NULL;1;NULL;230;0,1100;NULL;25,3
001-003-00133;Etiquetas Latas Cyril Nuit The Noel;Unidad;Planta;NULL;1;NULL;200;0,4600;NULL;92
001-003-00134;Etiquetas Latas Earl Grey Amarilla Delgada;Unidad;Planta;NULL;1;NULL;346;0,0400;NULL;13,84
001-003-00135;Etiquetas Latas Green Tea Amarilla Delgada;Unidad;Planta;NULL;1;NULL;0;0,0100;NULL;0
001-003-00136;Etiquetas Latas Holiday Blend 10 Anos;Unidad;Planta;NULL;1;NULL;50;0,0100;NULL;0,5
001-003-00137;Etiquetas Latas Infusion Tartelle Mandarine;Unidad;Planta;NULL;1;NULL;0;0,4600;NULL;0
001-003-00138;Etiquetas Latas Infusion Infusion Coquelicot;Unidad;Planta;NULL;1;NULL;0;0,4600;NULL;0
001-003-00139;Etiquetas Latas Infusion Mademoiselle;Unidad;Planta;NULL;1;NULL;12;0,4600;NULL;5,52
001-003-00140;Etiquetas Latas Infusion Miss Elissa;Unidad;Planta;NULL;1;NULL;76;0,4600;NULL;34,96
001-003-00141;Etiquetas Latas Infusion The Les Jardins De La Reine;Unidad;Planta;NULL;1;NULL;0;0,4600;NULL;0
001-003-00142;Etiquetas Latas Infusion The Ophir;Unidad;Planta;NULL;1;NULL;36;0,4600;NULL;16,56
001-003-00143;Etiquetas Latas Infusion The Angel Y Demon;Unidad;Planta;NULL;1;NULL;0;0,4600;NULL;0
001-003-00144;Etiquetas Latas Infusion The Au Coeur De Paris;Unidad;Planta;NULL;1;NULL;28;0,4600;NULL;12,88
001-003-00145;Etiquetas Latas Infusion The Les Contrairies;Unidad;Planta;NULL;1;NULL;2;0,4600;NULL;0,92
001-003-00146;Etiquetas Latas Legacy Blend 10 Anos;Unidad;Planta;NULL;1;NULL;2660;0,1300;NULL;345,8
001-003-00147;Etiquetas Latas Lemon Ginger Amarilla Delgada;Unidad;Planta;NULL;1;NULL;2659;0,0500;NULL;132,95
001-003-00148;Etiquetas Latas Natural Vitality;Unidad;Planta;NULL;1;NULL;1642;0,0500;NULL;82,1
001-003-00149;Etiquetas Latas Strawberry Amarilla Delgada;Unidad;Planta;NULL;1;NULL;2101;0,0100;NULL;21,01
001-003-00150;Etiquetas Latas Arquitectura Sostenible;Unidad;Planta;NULL;1;NULL;140;0,9200;NULL;128,8
001-003-00151;Etiquetas Latas Menta Sandia;Unidad;Planta;NULL;1;NULL;607;0,0900;NULL;54,63
001-003-00152;Frascos Pequenos Bubble Tea;Unidad;Planta;NULL;1;NULL;436;0,2400;NULL;104,64
001-003-00153;Cajas Fiorana;Unidad;Planta;NULL;1;NULL;170;0,4300;NULL;73,1
001-003-00154;Mangas Calendario Amarilla;Unidad;Planta;NULL;1;NULL;67;1,0000;NULL;67
001-003-00155;Mangas Calendario Colores;Unidad;Planta;NULL;1;NULL;17;0,8000;NULL;13,6
001-003-00156;Fajillas Jamaica Berries;Unidad;Planta;NULL;1;NULL;15840;0,0100;NULL;158,4
001-003-00157;Fajillas Lemon Black Tea;Unidad;Planta;NULL;1;NULL;9903;0,0100;NULL;99,03
001-003-00158;Fajillas Lemon Ginger;Unidad;Planta;NULL;1;NULL;10160;0,0100;NULL;101,6
001-003-00160;Fajillas Rooibos Mango;Unidad;Planta;NULL;1;NULL;1495;0,0700;NULL;104,65
001-003-00161;Fajillas White Tea Rose;Unidad;Planta;NULL;1;NULL;385;0,0700;NULL;26,95
001-003-00162;Fajas;Unidad;Planta;NULL;1;NULL;1587;0,2600;NULL;412,62
001-003-00163;Cartones 178314 (71 Cajas Grandes);Unidad;Planta;NULL;1;NULL;284;1,4100;NULL;400,44
001-003-00164;Cartones 178314 (61);Unidad;Planta;NULL;1;NULL;206;0,5600;NULL;115,36
001-003-00165;Cartones 189771 (81 );Unidad;Planta;NULL;1;NULL;537;1,1300;NULL;606,81
001-003-00166;Cartones 188399 (51 );Unidad;Planta;NULL;1;NULL;378;0,5300;NULL;200,34
001-003-00167;Maquila Doypack Every Express;Unidad;Planta;NULL;1;NULL;0;0,0300;NULL;0
001-003-00168;Etiqueta Grande Black Sunshine;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00169;Etiqueta Grande Creamy Noir;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00170;Etiqueta Grande Caramelo Supreme;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00171;Etiqueta Grande Black Velvet;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00172;Etiqueta Grande Lucky Mango;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00173;Etiqueta Grande Tilo Lemon;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00174;Etiqueta Grande Red Seduction;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00175;Etiqueta Grande Bubbly Oolong;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00176;Etiqueta Grande Pineapple Mint;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00177;Etiqueta Grande Cotton Candid;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00178;Etiqueta Grande Flower Lullaby;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00179;Etiqueta Grande Amaranto Spice;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00180;Etiqueta Grande Ruby Tangerine;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
001-003-00181;Etiqueta Grande Ginger Cider;Unidad;Planta;NULL;1;NULL;0;0,0400;NULL;0
