Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
001-001-00002;Red Seduction Encapsulado;Gramo;Planta;NULL;1;NULL;0,00;0,0105;NULL;0
001-001-00003;Masala Chai  Encapsulado;Gramo;Planta;NULL;1;NULL;0,00;0,0140;NULL;0
001-001-00009;Mora Roberto Baldeon;Gramo;Planta;NULL;1;NULL;0,00;0,0240;NULL;0
001-001-00010;Azucar Impalpable Don Gato;Gramo;Planta;NULL;1;NULL;0,00;0,0011;NULL;0
001-001-00011;Anis Ile;Gramo;Planta;NULL;1;NULL;0,00;0,0878;NULL;0
001-001-00012;Stevia En Hoja Ile;Gramo;Planta;NULL;1;NULL;1400,00;0,0190;NULL;26,6
001-001-00013;Sucralosa;Gramo;Planta;NULL;1;NULL;175,00;0,1000;NULL;17,5
001-001-00014;Saborizante Crema De Menta;Gramo;Planta;NULL;1;NULL;180,00;0,0200;NULL;3,6
001-001-00015;Crema Batida En Polvo Importada;Gramo;Planta;NULL;1;NULL;4842,00;0,0700;NULL;338,94
001-001-00016;Saborizante Avellana;Gramo;Planta;NULL;1;NULL;400,00;0,0200;NULL;8
001-001-00017;Polvo De Cacao Alcalino  Natigold;Gramo;Planta;NULL;1;NULL;938,00;0,0110;NULL;10,318
001-001-00018;Polvo De Cacao Natural Natigold;Gramo;Planta;NULL;1;NULL;1000,00;0,0100;NULL;10
001-001-00021;Jamaica Tamarak;Gramo;Planta;NULL;1;NULL;12015,00;0,0085;NULL;102,1275
001-001-00022;Saborizante Cookies And Cream;Gramo;Planta;NULL;1;NULL;0,00;0,0200;NULL;0
001-001-00023;Rosas Rojas Pequenas Aromas;Gramo;Planta;NULL;1;NULL;0,00;0,0180;NULL;0
001-001-00024;Calendula Aromas;Gramo;Planta;NULL;1;NULL;800,00;0,0180;NULL;14,4
001-001-00025;Caballo Chupa Aromas;Gramo;Planta;NULL;1;NULL;638,00;0,0000;NULL;0
001-001-00026;Tarascaso Aromas;Gramo;Planta;NULL;1;NULL;585,00;0,0000;NULL;0
001-001-00027;Matcha Latte Mix 1kg;Gramo;Planta;NULL;1;NULL;960,00;0,0000;NULL;0
001-001-00028;Matcha Kyoto Bi;Gramo;Planta;NULL;1;NULL;365,00;0,3060;NULL;111,69
001-001-00029;Matcha Kyoto Rin;Gramo;Planta;NULL;1;NULL;238,00;0,2320;NULL;55,216
001-001-00030;Manzana En Cubo Roberto Baldeon;Gramo;Planta;NULL;1;NULL;4500,00;0,0280;NULL;126
001-001-00031;Saborizante Naranja Tippytea 250 G;Unidad;Planta;NULL;1;NULL;0,00;0,0300;NULL;0
001-001-00032;Sunfo Pucara;Gramo;Planta;NULL;1;NULL;0,00;0,0270;NULL;0
001-001-00033;Maquila Koko Sen;Unidad;Planta;NULL;1;NULL;0,00;0,0100;NULL;0
