Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
001-001-00002;Red Seduction Encapsulado;Gramo;Jardin;NULL;3;NULL;0,00;0,0105;NULL;0
001-001-00003;Masala Chai  Encapsulado;Gramo;Jardin;NULL;3;NULL;0,00;0,0140;NULL;0
001-001-00009;Mora Roberto Baldeon;Gramo;Jardin;NULL;3;NULL;0,00;0,0240;NULL;0
001-001-00010;Azucar Impalpable Don Gato;Gramo;Jardin;NULL;3;NULL;0,00;0,0011;NULL;0
001-001-00011;Anis Ile;Gramo;Jardin;NULL;3;NULL;0,00;0,0878;NULL;0
001-001-00012;Stevia En Hoja Ile;Gramo;Jardin;NULL;3;NULL;0,00;0,0190;NULL;0
001-001-00013;Sucralosa;Gramo;Jardin;NULL;3;NULL;0,00;0,1000;NULL;0
001-001-00014;Saborizante Crema De Menta;Gramo;Jardin;NULL;3;NULL;0,00;0,0200;NULL;0
001-001-00015;Crema Batida En Polvo Importada;Gramo;Jardin;NULL;3;NULL;0,00;0,0700;NULL;0
001-001-00016;Saborizante Avellana;Gramo;Jardin;NULL;3;NULL;0,00;0,0200;NULL;0
001-001-00017;Polvo De Cacao Alcalino  Natigold;Gramo;Jardin;NULL;3;NULL;0,00;0,0110;NULL;0
001-001-00018;Polvo De Cacao Natural Natigold;Gramo;Jardin;NULL;3;NULL;0,00;0,0100;NULL;0
001-001-00021;Jamaica Tamarak;Gramo;Jardin;NULL;3;NULL;0,00;0,0085;NULL;0
001-001-00022;Saborizante Cookies And Cream;Gramo;Jardin;NULL;3;NULL;0,00;0,0200;NULL;0
001-001-00023;Rosas Rojas Pequenas Aromas;Gramo;Jardin;NULL;3;NULL;0,00;0,0180;NULL;0
001-001-00024;Calendula Aromas;Gramo;Jardin;NULL;3;NULL;0,00;0,0180;NULL;0
001-001-00025;Caballo Chupa Aromas;Gramo;Jardin;NULL;3;NULL;0,00;0,0000;NULL;0
001-001-00026;Tarascaso Aromas;Gramo;Jardin;NULL;3;NULL;0,00;0,0000;NULL;0
001-001-00027;Matcha Latte Mix 1kg;Gramo;Jardin;NULL;3;NULL;0,00;0,0000;NULL;0
001-001-00028;Matcha Kyoto Bi;Gramo;Jardin;NULL;3;NULL;0,00;0,3060;NULL;0
001-001-00029;Matcha Kyoto Rin;Gramo;Jardin;NULL;3;NULL;0,00;0,2320;NULL;0
001-001-00030;Manzana En Cubo Roberto Baldeon;Gramo;Jardin;NULL;3;NULL;0,00;0,0280;NULL;0
001-001-00031;Saborizante Naranja Tippytea 250 G;Unidad;Jardin;NULL;3;NULL;0,00;0,0300;NULL;0
001-001-00032;Sunfo Pucara;Gramo;Jardin;NULL;3;NULL;0,00;0,0270;NULL;0
001-001-00033;Maquila Koko Sen;Unidad;Jardin;NULL;3;NULL;0,00;0,0100;NULL;0
001-001-00034;Otros;Unidad;Jardin;NULL;3;NULL;0,00;0,0100;NULL;0
001-001-00035;Etiqueta Pequena Black Velvet;Unidad;Jardin;NULL;3;NULL;0,00;0,0300;NULL;0
001-001-00036;Etiqueta Pequena Bubbly Oolong;Unidad;Jardin;NULL;3;NULL;0,00;0,0300;NULL;0
001-001-00037;Etiqueta Pequena Pinneaple Mint;Unidad;Jardin;NULL;3;NULL;14,00;0,0300;NULL;0,42
001-001-00039;Saborizante Pina Tropical;Gramo;Jardin;NULL;3;NULL;0,00;0,0150;NULL;0
001-001-00040;Saborizante Coco;Gramo;Jardin;NULL;3;NULL;0,00;0,0100;NULL;0
001-001-00041;Saborizante Menta Banano;Gramo;Jardin;NULL;3;NULL;0,00;0,0200;NULL;0
001-001-00042;Balde Blanco Pp 3.5;Unidad;Jardin;NULL;3;NULL;0,00;0,7000;NULL;0
001-001-00057;Agua de Coco Blanco 1 litro;Gramo;Jardin;NULL;3;NULL;757,00;0,003;NULL;2,41483
001-001-00058;Agua de Coco Transparente;Gramo;Jardin;NULL;3;NULL;916,00;0,003;NULL;2,94952
001-001-00059;Avena sin Azucar Carton 946ml;Gramo;Jardin;NULL;3;NULL;804,00;0,002;NULL;1,623276
001-002-00002;Insumo De Maridaje;Unidad;Jardin;NULL;3;NULL;0,00;0,0100;NULL;0
001-003-00001;Latas Xl (Grande);Unidad;Jardin;NULL;3;NULL;57,00;0,4500;NULL;25,65
001-003-00003;Fundas Metalizadas;Unidad;Jardin;NULL;3;NULL;104,00;0,0300;NULL;3,12
001-003-00015;Etiqueta Grande Guayusa Tropical;Unidad;Jardin;NULL;3;NULL;8,00;0,0400;NULL;0,32
001-003-00016;Etiqueta Grande Monn Cycle;Unidad;Jardin;NULL;3;NULL;0,00;0,0400;NULL;0
001-003-00017;Etiqueta Extra Grande Divine Tea;Unidad;Jardin;NULL;3;NULL;0,00;0,0600;NULL;0
001-003-00018;Etiqueta Extra Grande Digestive Blend;Unidad;Jardin;NULL;3;NULL;23,00;0,0600;NULL;1,38
001-003-00019;Etiqueta Extra Grande Moon Cycle;Unidad;Jardin;NULL;3;NULL;12,00;0,0600;NULL;0,72
001-003-00020;Etiqueta Extra Grande Focus Boost;Unidad;Jardin;NULL;3;NULL;10,00;0,0600;NULL;0,6
001-003-00021;Porta Vasos;Unidad;Jardin;NULL;3;NULL;10,00;0,2900;NULL;2,9
001-003-00022;Etiquetas Pequeñas Jazmin;Unidad;Jardin;NULL;3;NULL;10,00;0,0300;NULL;0,3
001-003-00023;Etiquetas Pequeñas Butterfly Pea;Unidad;Jardin;NULL;3;NULL;19,00;0,0300;NULL;0,57
001-003-00024;Cofre Sin Tapa Por 9;Unidad;Jardin;NULL;3;NULL;0,00;6,0000;NULL;0
001-003-00025;Liner De Aluminio Tapa 120mm;Unidad;Jardin;NULL;3;NULL;0,00;0,1500;NULL;0
001-003-00026;Botella 60ml;Unidad;Jardin;NULL;3;NULL;0,00;0,6300;NULL;0
001-003-00027;Etiqueta Grande Lapsang Souchong;Unidad;Jardin;NULL;3;NULL;0,00;0,0400;NULL;0
001-003-00028;Tapa Rosca Blanca;Unidad;Jardin;NULL;3;NULL;0,00;0,030;NULL;0
001-003-00029;Banda Pvc Tapa 28mm;Unidad;Jardin;NULL;3;NULL;0,00;0,0054;NULL;0
001-003-00030;Etiquetas Bubble Tea Sabores;Unidad;Jardin;NULL;3;NULL;0,00;0,1400;NULL;0
001-003-00031;Sorbetes Papel Pequeño;Unidad;Jardin;NULL;3;NULL;338,00;0,0200;NULL;6,76
001-003-00032;Sorbetes Papel Grande;Unidad;Jardin;NULL;3;NULL;10,00;0,0500;NULL;0,5
001-003-00033;Tea Collection Caja Amarilla;Unidad;Jardin;NULL;3;NULL;0,00;0,0000;NULL;0
001-003-00034;Tapa Lata Pequeña;Unidad;Jardin;NULL;3;NULL;57,00;0,0000;NULL;0,00057
001-003-00035;Vaso Degustación;Unidad;Jardin;NULL;3;NULL;94,00;0,0400;NULL;3,76
001-003-00036;Caja Kit Matcha Madera Vacia;Unidad;Jardin;NULL;3;NULL;0,00;2,4000;NULL;0
001-003-00037;Caja Madera 4 Latitas Vacia;Unidad;Jardin;NULL;3;NULL;0,00;2,4000;NULL;0
001-003-00038;Cilindro 4 Latitas Vacio;Unidad;Jardin;NULL;3;NULL;0,00;6,5000;NULL;0
001-003-00039;Etiqueta Grande Rosaline Night;Unidad;Jardin;NULL;3;NULL;0,00;0,0400;NULL;0
001-003-00040;Etiqueta Grande Tropical Fusion;Unidad;Jardin;NULL;3;NULL;0,00;0,0400;NULL;0
001-003-00041;Etiqueta Grande  Orange Star;Unidad;Jardin;NULL;3;NULL;7,00;0,0400;NULL;0,28
001-003-00042;Etiqueta Grande Golden Rooibos;Unidad;Jardin;NULL;3;NULL;0,00;0,0400;NULL;0
001-003-00043;Etiqueta Grande Green Jade;Unidad;Jardin;NULL;3;NULL;7,00;0,0400;NULL;0,28
001-003-00044;Etiqueta Grande Flowers Y Kisses;Unidad;Jardin;NULL;3;NULL;9,00;0,0400;NULL;0,36
001-003-00045;Etiqueta Grande Lavender Mint;Unidad;Jardin;NULL;3;NULL;1,00;0,0400;NULL;0,04
001-003-00046;Etiqueta Grande Mystic Rose;Unidad;Jardin;NULL;3;NULL;0,00;0,0400;NULL;0
001-003-00047;Etiqueta Grande Butterfly Floral;Unidad;Jardin;NULL;3;NULL;2,00;0,0400;NULL;0,08
001-003-00048;Etiqueta Grande Milky Oolong;Unidad;Jardin;NULL;3;NULL;9,00;0,0400;NULL;0,36
001-003-00049;Etiqueta Grande Caribbean Punch;Unidad;Jardin;NULL;3;NULL;9,00;0,0400;NULL;0,36
001-003-00050;Cofres 6 Espacios Con Tapa;Unidad;Jardin;NULL;3;NULL;0,00;6,0000;NULL;0
001-003-00051;Divisiones De Carton;Unidad;Jardin;NULL;3;NULL;0,00;0,0300;NULL;0
001-003-00052;Frascos Para Bubbletea;Unidad;Jardin;NULL;3;NULL;0,00;0,4900;NULL;0
001-003-00053;Funda Dorada 13x21;Unidad;Jardin;NULL;3;NULL;0,00;0,0500;NULL;0
001-003-00054;Funda Eco Food Tippytea (500);Unidad;Jardin;NULL;3;NULL;0,00;0,0259;NULL;0
001-003-00055;Funda Plateada Antigua 13x21;Unidad;Jardin;NULL;3;NULL;0,00;0,1100;NULL;0
001-003-00056;Funda Mate;Unidad;Jardin;NULL;3;NULL;0,00;0,3400;NULL;0
001-003-00057;Funda Tippytea Amarilla 50gr;Unidad;Jardin;NULL;3;NULL;0,00;0,4900;NULL;0
